Name,Nationality,Date of Birth,Height,Club,Position,Appearances,Goals,Assists,Clean sheets,Facebook,Gls,Ast,xG,xAG,PrgC,PrgP,Min,MP,Tkl,TklW,Int,Recoveries,Gls_per_90,Ast_per_90
Max Aarons,England,04/01/2000 (24),178cm,Bournemouth,Defender,90.0,0.0,4.0,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Zach Abbott,England,13/05/2006 (18),0,Nottingham Forest,Defender,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Terry Ablade,Finland,12/10/2001,0,0,Forward,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Josh Acheampong,England,05/05/2006 (18),0,Chelsea,Defender,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Tyler Adams,United States,14/02/1999 (25),173cm,Bournemouth,Midfielder,27.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Tosin Adarabioyo,England,24/09/1997 (26),196cm,Chelsea,Defender,78.0,3.0,0.0,18.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Tayo Adaramola,Ireland,14/11/2003,177cm,0,Defender,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Elijah Adebayo,England,07/01/1998,193cm,0,Forward,27.0,10.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Valintino Adedokun,Ireland,14/02/2003,0,0,Defender,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Simon Adingra,Cote D’Ivoire,01/01/2002 (22),175cm,Brighton & Hove Albion,Forward,31.0,6.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Adler Nascimento,Portugal,25/11/2004,0,0,Forward,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Adrián,Spain,03/01/1987,190cm,0,Goalkeeper,139.0,0.0,0.0,38.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Daniel Adu-Adjei,England,21/06/2005,177cm,0,Forward,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Nayef Aguerd,Morocco,30/03/1996 (28),190cm,West Ham United,Defender,39.0,3.0,0.0,7.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Brandon Aguilera,Costa Rica,28/06/2003,179cm,0,Midfielder,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Enock Agyei,Belgium,13/01/2005,172cm,0,Forward,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Naouirou Ahamada,France,29/03/2002 (22),183cm,Crystal Palace,Midfielder,28.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Anel Ahmedhodzic,Bosnia & Herzegovina,26/03/1999,195cm,0,Defender,31.0,2.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
