Rk,Player,Nation,Pos,Squad,Age,Weekly Wages (GBP),Annual Wages (GBP),Name,Position,Annual Wages,Weekly Wages
,,,,,,,,Aaron Cresswell,DF,£4.6M,"£88,462"
,,,,,,,,Aaron Ramsdale,GK,£8.3M,"£159,615"
,,,,,,,,Aaron Wan-Bissaka,DF,£7.9M,"£151,923"
,,,,,,,,Abdoulaye Doucouré,MF,£10.4M,"£200,000"
,,,,,,,,Abdukodir Khusanov,DF,£4.9M,"£94,231"
,,,,,,,,Abdul Fatawu Issahaku,FW,£5.0M,"£96,154"
,,,,,,,,Adam Armstrong,FW,£4.2M,"£80,769"
,,,,,,,,Adam Lallana,MF,£4.5M,"£86,538"
,,,,,,,,Adam Smith,DF,£4.0M,"£76,923"
,,,,,,,,Adam Webster,DF,£4.5M,"£86,538"
,,,,,,,,Adam Wharton,MF,£4.6M,"£88,462"
,,,,,,,,Adama Traoré,FW,£8.3M,"£159,615"
,,,,,,,,Albert Grønbaek,FW,£5.1M,"£98,077"
,,,,,,,,Alejandro Garnacho,MF,£6.5M,"£125,000"
,,,,,,,,Alex Iwobi,FW,£11.5M,"£221,154"
,,,,,,,,Alex McCarthy,GK,£3.4M,"£65,385"
,,,,,,,,Alex Palmer,GK,£3.7M,"£71,154"
,,,,,,,,Alex Scott,MF,£4.1M,"£78,846"
,,,,,,,,Alexander Isak,FW,£12.9M,"£248,077"
,,,,,,,,Alexis Mac Allister,MF,£7.1M,"£136,538"
,,,,,,,,Alfie Dorrington,DF,£4.5M,"£86,538"
,,,,,,,,Alfie Pond,DF,£5.0M,"£96,154"
,,,,,,,,Ali Al Hamadi,FW,£5.0M,"£96,154"
,,,,,,,,Alisson,GK,£9.2M,"£176,923"
,,,,,,,,Alphonse Areola,GK,£6.4M,"£123,077"
,,,,,,,,Altay Bayındır,GK,£4.4M,"£84,615"
,,,,,,,,Amad Diallo,MF,£8.7M,"£167,308"
,,,,,,,,Amadou Onana,MF,£5.3M,"£101,923"
,,,,,,,,Andreas Pereira,MF,£6.9M,"£132,692"
,,,,,,,,Andrew Robertson,DF,£9.4M,"£180,769"
,,,,,,,,André,MF,£8.3M,"£159,615"
,,,,,,,,André Onana,GK,£10.2M,"£196,154"
,,,,,,,,Andrés García,DF,£4.1M,"£78,846"
