Rk,Player,Nation,Pos,Squad,Age,Weekly Wages (GBP),Annual Wages (GBP)
1,Erling Haaland,no NOR,FW,Manchester City,25,525000,27300000
2,Mohamed Salah,eg EGY,MF,Liverpool,33,400000,20800000
3,Casemiro,br BRA,MF,Manchester Utd,33,350000,18200000
4,Virgil van Dijk,nl NED,DF,Liverpool,34,350000,18200000
5,Bruno Fernandes,pt POR,MF,Manchester Utd,30,300000,15600000
6,Bernardo Silva,pt POR,MF,Manchester City,30,300000,15600000
7,Omar Marmoush,eg EGY,"FW,MF",Manchester City,26,295000,15340000
8,Alexander Isak,se SWE,FW,Liverpool,25,280000,14560000
9,Kai Havertz,de GER,"FW,MF",Arsenal,26,280000,14560000
10,Gabriel Jesus,br BRA,FW,Arsenal,28,265000,13780000
11,Marc Guéhi,eng ENG,DF,Manchester City,25,250000,13000000
12,Cody Gakpo,nl NED,"MF,FW",Liverpool,26,250000,13000000
13,Gianluigi Donnarumma,it ITA,GK,Manchester City,26,250000,13000000
14,John Stones,eng ENG,DF,Manchester City,31,250000,13000000
15,Rúben Dias,pt POR,DF,Manchester City,28,250000,13000000
16,Reece James,eng ENG,"DF,MF",Chelsea,25,250000,13000000
17,William Saliba,fr FRA,DF,Arsenal,24,250000,13000000
18,Declan Rice,eng ENG,MF,Arsenal,26,240000,12480000
19,Martin Ødegaard,no NOR,MF,Arsenal,26,240000,12480000
20,Tijjani Reijnders,nl NED,MF,Manchester City,27,230000,11960000
21,Phil Foden,eng ENG,MF,Manchester City,25,225000,11700000
22,Rodri,es ESP,MF,Manchester City,29,220000,11440000
23,Florian Wirtz,de GER,MF,Liverpool,22,200000,10400000
24,Hugo Ekitike,fr FRA,FW,Liverpool,23,200000,10400000
25,Joško Gvardiol,hr CRO,DF,Manchester City,23,200000,10400000
26,Wesley Fofana,fr FRA,DF,Chelsea,24,200000,10400000
27,Viktor Gyökeres,se SWE,FW,Arsenal,27,200000,10400000
28,Matthijs de Ligt,nl NED,DF,Manchester Utd,25,195000,10140000
29,Cristian Romero,ar ARG,DF,Tottenham Hotspur,27,195000,10140000
30,Xavi Simons,nl NED,"MF,FW",Tottenham Hotspur,22,195000,10140000
31,Bukayo Saka,eng ENG,"FW,MF",Arsenal,23,195000,10140000
32,Harry Maguire,eng ENG,DF,Manchester Utd,32,190000,9880000
33,Matheus Cunha,br BRA,"MF,FW",Manchester Utd,26,180000,9360000
34,Rayan Cherki,fr FRA,MF,Manchester City,21,180000,9360000
35,Enzo Fernández,ar ARG,MF,Chelsea,24,180000,9360000
36,Eberechi Eze,eng ENG,"MF,FW",Arsenal,27,180000,9360000
37,Gabriel Martinelli,br BRA,"FW,MF",Arsenal,24,180000,9360000
38,Leandro Trossard,be BEL,"FW,MF",Arsenal,30,180000,9360000
39,Marc Cucurella,es ESP,DF,Chelsea,27,175000,9100000
40,James Maddison,eng ENG,"FW,MF",Tottenham Hotspur,28,170000,8840000
41,Conor Gallagher,eng ENG,MF,Tottenham Hotspur,25,160000,8320000
42,Benjamin Šeško,si SVN,FW,Manchester Utd,22,160000,8320000
43,Andrew Robertson,sct SCO,DF,Liverpool,31,160000,8320000
44,Bruno Guimarães,br BRA,MF,Newcastle United,27,160000,8320000
45,Nathan Aké,nl NED,DF,Manchester City,30,160000,8320000
46,Pedro Neto,pt POR,"MF,FW",Chelsea,25,160000,8320000
47,Antoine Semenyo,gh GHA,"MF,FW",Manchester City,25,150000,7800000
48,Bryan Mbeumo,cm CMR,"MF,FW",Manchester Utd,25,150000,7800000
49,Luke Shaw,eng ENG,DF,Manchester Utd,30,150000,7800000
50,Mason Mount,eng ENG,MF,Manchester Utd,26,150000,7800000
51,Mohammed Kudus,gh GHA,"MF,FW",Tottenham Hotspur,24,150000,7800000
52,Randal Kolo Muani,fr FRA,"FW,MF",Tottenham Hotspur,26,150000,7800000
53,Jarrod Bowen,eng ENG,"MF,FW",West Ham United,28,150000,7800000
54,Alexis Mac Allister,ar ARG,MF,Liverpool,26,150000,7800000
55,Alisson,br BRA,GK,Liverpool,32,150000,7800000
56,Federico Chiesa,it ITA,MF,Liverpool,27,150000,7800000
57,Ryan Gravenberch,nl NED,MF,Liverpool,23,150000,7800000
58,Boubacar Kamara,fr FRA,MF,Aston Villa,25,150000,7800000
59,Emiliano Martínez,ar ARG,GK,Aston Villa,32,150000,7800000
60,Morgan Rogers,eng ENG,MF,Aston Villa,23,150000,7800000
61,Youri Tielemans,be BEL,MF,Aston Villa,28,150000,7800000
62,Anthony Gordon,eng ENG,FW,Newcastle United,24,150000,7800000
63,Joelinton,br BRA,MF,Newcastle United,28,150000,7800000
64,Sandro Tonali,it ITA,MF,Newcastle United,25,150000,7800000
66,Mateo Kovačić,hr CRO,MF,Manchester City,31,150000,7800000
67,Moisés Caicedo,ec ECU,MF,Chelsea,23,150000,7800000
68,Jordan Pickford,eng ENG,GK,Everton,31,150000,7800000
69,Ben White,eng ENG,DF,Arsenal,27,150000,7800000
70,Gabriel Magalhães,br BRA,DF,Arsenal,27,150000,7800000
71,Noni Madueke,eng ENG,"FW,MF",Arsenal,23,150000,7800000
72,Tammy Abraham,eng ENG,FW,Aston Villa,27,140000,7280000
73,Dominic Solanke,eng ENG,FW,Tottenham Hotspur,27,140000,7280000
74,Amadou Onana,be BEL,MF,Aston Villa,23,140000,7280000
75,Donyell Malen,nl NED,"FW,MF",Aston Villa,26,140000,7280000
76,Yoane Wissa,cd COD,FW,Newcastle United,28,140000,7280000
77,João Palhinha,pt POR,MF,Tottenham Hotspur,30,135000,7020000
78,Noussair Mazraoui,ma MAR,"DF,MF",Manchester Utd,27,135000,7020000
79,Lucas Digne,fr FRA,DF,Aston Villa,32,135000,7020000
80,Nick Woltemade,de GER,"FW,MF",Newcastle United,23,132500,6890000
81,John McGinn,sct SCO,MF,Aston Villa,30,130000,6760000
82,Ollie Watkins,eng ENG,FW,Aston Villa,29,130000,6760000
83,Matheus Nunes,pt POR,DF,Manchester City,26,130000,6760000
84,Cole Palmer,eng ENG,MF,Chelsea,23,130000,6760000
85,Bernd Leno,de GER,GK,Fulham,33,130000,6760000
86,Mikel Merino,es ESP,"MF,FW",Arsenal,29,130000,6760000
87,João Pedro,br BRA,"FW,MF",Chelsea,23,125000,6500000
88,Jørgen Strand Larsen,no NOR,FW,Crystal Palace,25,120000,6240000
89,Leon Bailey,jm JAM,MF,Aston Villa,27,120000,6240000
90,Samuel Chukwueze,ng NGA,MF,Fulham,26,120000,6240000
91,Amad Diallo,ci CIV,MF,Manchester Utd,23,120000,6240000
92,Lisandro Martínez,ar ARG,DF,Manchester Utd,27,120000,6240000
93,Manuel Ugarte,uy URU,MF,Manchester Utd,24,120000,6240000
94,Alphonse Areola,fr FRA,GK,West Ham United,32,120000,6240000
95,Dominik Szoboszlai,hu HUN,"MF,DF",Liverpool,24,120000,6240000
96,Victor Lindelöf,se SWE,"DF,MF",Aston Villa,31,120000,6240000
97,Aaron Ramsdale,eng ENG,GK,Newcastle United,27,120000,6240000
98,Jacob Ramsey,eng ENG,MF,Newcastle United,24,120000,6240000
99,Kieran Trippier,eng ENG,DF,Newcastle United,34,120000,6240000
100,Rayan Aït-Nouri,dz ALG,DF,Manchester City,24,120000,6240000
101,Jorrel Hato,nl NED,DF,Chelsea,19,120000,6240000
102,Tosin Adarabioyo,eng ENG,DF,Chelsea,27,120000,6240000
103,Idrissa Gana Gueye,sn SEN,MF,Everton,35,120000,6240000
104,James Tarkowski,eng ENG,DF,Everton,32,120000,6240000
105,Jarrad Branthwaite,eng ENG,DF,Everton,23,120000,6240000
106,Riccardo Calafiori,it ITA,DF,Arsenal,23,120000,6240000
107,Leny Yoro,fr FRA,DF,Manchester Utd,19,115000,5980000
108,James Ward-Prowse,eng ENG,MF,West Ham United,30,115000,5980000
109,Brennan Johnson,wls WAL,"MF,FW",Crystal Palace,24,110000,5720000
111,Tyrone Mings,eng ENG,DF,Aston Villa,32,110000,5720000
112,Granit Xhaka,ch SUI,MF,Sunderland,32,110000,5720000
113,Alejandro Garnacho,ar ARG,MF,Chelsea,21,110000,5720000
114,Morgan Gibbs-White,eng ENG,MF,Nottingham Forest,25,110000,5720000
115,Jamie Gittens,eng ENG,MF,Chelsea,20,108000,5616000
116,Joshua Zirkzee,nl NED,"FW,MF",Manchester Utd,24,105000,5460000
117,Daichi Kamada,jp JPN,MF,Crystal Palace,28,105000,5460000
118,João Gomes,br BRA,MF,Wolves,24,105000,5460000
119,Nikola Milenković,rs SRB,DF,Nottingham Forest,27,105000,5460000
120,Dean Henderson,eng ENG,GK,Crystal Palace,28,100000,5200000
121,Dominic Calvert-Lewin,eng ENG,FW,Leeds United,28,100000,5200000
122,Max Kilman,eng ENG,DF,West Ham United,28,100000,5200000
123,Jeremie Frimpong,nl NED,"DF,MF",Liverpool,24,100000,5200000
124,Ian Maatsen,nl NED,DF,Aston Villa,23,100000,5200000
125,Matty Cash,pl POL,DF,Aston Villa,27,100000,5200000
126,Pau Torres,es ESP,DF,Aston Villa,28,100000,5200000
127,Nordi Mukiele,fr FRA,DF,Sunderland,27,100000,5200000
128,Anthony Elanga,se SWE,"FW,MF",Newcastle United,23,100000,5200000
129,Levi Colwill,eng ENG,DF,Chelsea,22,100000,5200000
130,Liam Delap,eng ENG,FW,Chelsea,22,100000,5200000
132,Raúl Jiménez,mx MEX,FW,Fulham,34,100000,5200000
133,David Raya,es ESP,GK,Arsenal,29,100000,5200000
134,Pascal Groß,de GER,MF,Brighton,34,90000,4680000
135,Micky van de Ven,nl NED,DF,Tottenham Hotspur,24,90000,4680000
136,Richarlison,br BRA,"FW,MF",Tottenham Hotspur,28,90000,4680000
137,Eddie Nketiah,eng ENG,MF,Crystal Palace,26,90000,4680000
138,Jack Harrison,eng ENG,FW,Leeds United,28,90000,4680000
139,Aaron Wan-Bissaka,cd COD,"DF,MF",West Ham United,27,90000,4680000
140,Niclas Füllkrug,de GER,FW,West Ham United,32,90000,4680000
141,Tomáš Souček,cz CZE,MF,West Ham United,30,90000,4680000
142,Sven Botman,nl NED,DF,Newcastle United,25,90000,4680000
143,Benoît Badiashile,fr FRA,DF,Chelsea,24,90000,4680000
144,Kiernan Dewsbury-Hall,eng ENG,MF,Everton,26,90000,4680000
145,Callum Hudson-Odoi,eng ENG,MF,Nottingham Forest,24,90000,4680000
146,Chris Wood,nz NZL,FW,Nottingham Forest,33,90000,4680000
147,Joachim Andersen,dk DEN,DF,Fulham,29,90000,4680000
148,Jurriën Timber,nl NED,DF,Arsenal,24,90000,4680000
149,Ferdi Kadioglu,tr TUR,"DF,MF",Brighton,25,87500,4550000
150,Diogo Dalot,pt POR,"DF,MF",Manchester Utd,26,85000,4420000
151,Pedro Porro,es ESP,DF,Tottenham Hotspur,25,85000,4420000
152,Radu Drăgușin,ro ROU,DF,Tottenham Hotspur,23,85000,4420000
153,Evanilson,br BRA,FW,Bournemouth,25,85000,4420000
154,Giorgi Mamardashvili,ge GEO,GK,Liverpool,24,85000,4420000
155,Joe Gomez,eng ENG,DF,Liverpool,28,85000,4420000
156,Emmanuel Agbadou,ci CIV,DF,Wolves,28,85000,4420000
157,Lutsharel Geertruida,nl NED,"DF,MF",Sunderland,25,85000,4420000
158,Dan Ndoye,ch SUI,MF,Nottingham Forest,24,85000,4420000
159,Ben Davies,wls WAL,DF,Tottenham Hotspur,32,80000,4160000
160,Justin Kluivert,nl NED,MF,Bournemouth,26,80000,4160000
161,Sean Longstaff,eng ENG,MF,Leeds United,27,80000,4160000
162,Jean-Clair Todibo,fr FRA,DF,West Ham United,25,80000,4160000
163,Toti Gomes,pt POR,DF,Wolves,26,80000,4160000
164,Harvey Barnes,eng ENG,"FW,MF",Newcastle United,27,80000,4160000
165,Joe Willock,eng ENG,MF,Newcastle United,25,80000,4160000
166,Sávio,br BRA,MF,Manchester City,21,80000,4160000
167,Kaoru Mitoma,jp JPN,"MF,FW",Brighton,28,80000,4160000
168,Lewis Dunk,eng ENG,DF,Brighton,33,80000,4160000
169,Michael Keane,eng ENG,DF,Everton,32,80000,4160000
170,Alex Iwobi,ng NGA,MF,Fulham,29,80000,4160000
171,Ethan Nwaneri,eng ENG,MF,Arsenal,18,80000,4160000
172,Valentín Castellanos,ar ARG,FW,West Ham United,26,75000,3900000
173,Tyrell Malacia,nl NED,DF,Manchester Utd,25,75000,3900000
174,Archie Gray,eng ENG,"MF,DF",Tottenham Hotspur,19,75000,3900000
175,Destiny Udogie,it ITA,"DF,MF",Tottenham Hotspur,22,75000,3900000
176,Guglielmo Vicario,it ITA,GK,Tottenham Hotspur,28,75000,3900000
177,Rodrigo Bentancur,uy URU,MF,Tottenham Hotspur,28,75000,3900000
178,Daniel James,wls WAL,"FW,MF",Leeds United,27,75000,3900000
179,Conor Bradley,nir NIR,DF,Liverpool,22,75000,3900000
180,Milos Kerkez,hu HUN,DF,Liverpool,21,75000,3900000
181,Emi Buendía,ar ARG,MF,Aston Villa,28,75000,3900000
182,Ezri Konsa,eng ENG,DF,Aston Villa,27,75000,3900000
183,Jean-Ricner Bellegarde,ht HAI,"MF,FW",Wolves,27,75000,3900000
184,Tolu Arokodare,ng NGA,FW,Wolves,24,75000,3900000
185,Enzo Le Fée,fr FRA,"MF,FW",Sunderland,25,75000,3900000
186,Kyle Walker,eng ENG,"DF,MF",Burnley,35,75000,3900000
187,Malick Thiaw,de GER,DF,Newcastle United,23,75000,3900000
189,Nicolás González,es ESP,MF,Manchester City,23,75000,3900000
190,Jordan Henderson,eng ENG,MF,Brentford,35,75000,3900000
191,Mikkel Damsgaard,dk DEN,MF,Brentford,25,75000,3900000
192,Georginio Rutter,fr FRA,"MF,FW",Brighton,23,75000,3900000
193,Ibrahim Sangaré,ci CIV,MF,Nottingham Forest,27,75000,3900000
194,Murillo,br BRA,DF,Nottingham Forest,23,75000,3900000
195,Martín Zubimendi,es ESP,MF,Arsenal,26,75000,3900000
196,Noah Okafor,ch SUI,"FW,MF",Leeds United,25,72500,3770000
197,Adama Traoré,es ESP,"FW,MF",West Ham United,29,70000,3640000
198,Pape Matar Sarr,sn SEN,MF,Tottenham Hotspur,22,70000,3640000
200,Ismaila Sarr,sn SEN,MF,Crystal Palace,27,70000,3640000
201,Jefferson Lerma,co COL,"MF,DF",Crystal Palace,30,70000,3640000
202,Bafodé Diakité,fr FRA,DF,Bournemouth,24,70000,3640000
203,Ryan Christie,sct SCO,MF,Bournemouth,30,70000,3640000
204,Ibrahima Konaté,fr FRA,DF,Liverpool,26,70000,3640000
205,Hwang Hee-chan,kr KOR,"FW,MF",Wolves,29,70000,3640000
206,Marshall Munetsi,zw ZIM,"MF,FW",Wolves,29,70000,3640000
207,Simon Adingra,ci CIV,"MF,FW",Sunderland,23,70000,3640000
208,Dan Burn,eng ENG,DF,Newcastle United,33,70000,3640000
209,Fabian Schär,ch SUI,DF,Newcastle United,33,70000,3640000
210,Aaron Hickey,sct SCO,"DF,MF",Brentford,23,70000,3640000
211,Reiss Nelson,eng ENG,"FW,MF",Brentford,25,70000,3640000
212,Dilane Bakwa,fr FRA,MF,Nottingham Forest,22,70000,3640000
213,Emile Smith Rowe,eng ENG,MF,Fulham,25,70000,3640000
214,Issa Diop,ma MAR,DF,Fulham,28,70000,3640000
215,Douglas Luiz,br BRA,MF,Aston Villa,27,67500,3510000
216,Adam Armstrong,eng ENG,"FW,MF",Wolves,28,65000,3380000
217,Matt O'Riley,dk DEN,MF,Brighton,24,65000,3380000
218,Oscar Bobb,no NOR,MF,Fulham,22,65000,3380000
219,Kevin Danso,at AUT,DF,Tottenham Hotspur,26,65000,3380000
220,Marcus Tavernier,eng ENG,MF,Bournemouth,26,65000,3380000
221,Harvey Elliott,eng ENG,MF,Aston Villa,22,65000,3380000
222,Jackson Tchatchoua,cm CMR,"MF,DF",Wolves,23,65000,3380000
223,Jhon Arias,co COL,"FW,MF",Wolves,27,65000,3380000
224,Bertrand Traoré,bf BFA,"MF,FW",Sunderland,29,65000,3380000
225,Omar Alderete,py PAR,DF,Sunderland,28,65000,3380000
226,Dango Ouattara,bf BFA,MF,Brentford,23,65000,3380000
227,Neco Williams,wls WAL,DF,Nottingham Forest,24,65000,3380000
228,Kenny Tete,nl NED,DF,Fulham,29,65000,3380000
229,Timothy Castagne,be BEL,"DF,MF",Fulham,29,65000,3380000
230,Christian Nørgaard,dk DEN,MF,Arsenal,31,65000,3380000
231,Piero Hincapié,ec ECU,DF,Arsenal,23,65000,3380000
232,Saša Lukić,rs SRB,MF,Fulham,28,63000,3276000
233,Senne Lammens,be BEL,GK,Manchester Utd,23,60000,3120000
234,Lucas Bergvall,se SWE,MF,Tottenham Hotspur,19,60000,3120000
235,Daniel Muñoz,co COL,MF,Crystal Palace,29,60000,3120000
236,Will Hughes,eng ENG,MF,Crystal Palace,30,60000,3120000
237,Yeremi Pino,es ESP,"MF,FW",Crystal Palace,22,60000,3120000
238,Amine Adli,ma MAR,MF,Bournemouth,25,60000,3120000
239,Đorđe Petrović,rs SRB,GK,Bournemouth,25,60000,3120000
240,Lewis Cook,eng ENG,"MF,DF",Bournemouth,28,60000,3120000
241,Tyler Adams,us USA,MF,Bournemouth,26,60000,3120000
242,Mateus Fernandes,pt POR,MF,West Ham United,21,60000,3120000
243,Ross Barkley,eng ENG,MF,Aston Villa,31,60000,3120000
244,André,br BRA,MF,Wolves,24,60000,3120000
245,José Sá,pt POR,GK,Wolves,32,60000,3120000
246,Brian Brobbey,nl NED,FW,Sunderland,23,60000,3120000
247,Nick Pope,eng ENG,GK,Newcastle United,33,60000,3120000
249,Robert Sánchez,es ESP,GK,Chelsea,27,60000,3120000
250,Danny Welbeck,eng ENG,FW,Brighton,34,60000,3120000
