Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,extra_0,MP,Starts,Min,Gls,Ast,G+A,G-PK,PK,PKatt,Gls,Ast,G+A,G-PK,G+A-PK,extra_1
1,Brenden Aaronson,us USA,MF,FW,Leeds United,24,2000,27.2,0.11,0.00,0.00,0.74,1.88,0.18,1.36,0.63,0.99,,,0.00,Matches,2000,37,30,449,27.2,0.15,0.18,0.33,0.15,0.11,0.00,0.15,0.18,0.33,Matches
2,Jerome Abbey,eng ENG,MF,Wolves,15,2009,0.2,0.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,,,0.00,Matches,,1,0,17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
3,Zach Abbott,eng ENG,DF,Nottingham Forest,19,2006,1.8,0.00,0.00,0.00,1.67,0.56,0.00,1.67,1.11,2.22,,,0.00,Matches,,3,2,164,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
4,Tammy Abraham,eng ENG,FW,Aston Villa,27,1997,3.2,0.00,0.00,0.00,0.63,0.00,0.00,0.31,0.00,0.31,,,0.00,Matches,,12,2,286,0.63,0.00,0.63,0.63,0.00,0.00,0.63,0.00,0.63,0.63,0.63,
5,Joshua Acheampong,eng ENG,DF,Chelsea,19,2006,7.4,0.14,0.00,0.00,0.27,1.22,0.27,0.14,1.62,1.08,,,0.00,Matches,,17,8,666,0.14,0.00,0.14,0.14,0.00,0.00,0.14,0.00,0.14,0.14,0.14,
6,Tyler Adams,us USA,MF,Bournemouth,26,1999,19.7,0.41,0.00,0.00,1.83,0.66,0.05,0.15,1.52,1.22,,,0.00,Matches,,25,21,1,19.7,0.10,0.10,0.20,0.10,0.00,0.00,0.10,0.10,0.20,0.10,
7,Tosin Adarabioyo,eng ENG,DF,Chelsea,27,1997,8.8,0.23,0.00,0.00,0.68,0.00,0.11,0.00,1.02,0.68,,,0.00,Matches,,16,8,795,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
8,Simon Adingra,ci CIV,MF,FW,Sunderland,23,2002,7.3,0.27,0.00,0.00,2.47,0.41,0.55,3.70,0.27,1.10,,,0.00,Matches,2002,14,9,7.3,0.14,0.00,0.14,0.14,0.00,0.00,0.14,0.00,0.14,0.14,
9,Amine Adli,ma MAR,MF,Bournemouth,25,2000,12.1,0.17,0.00,0.00,2.40,1.90,0.41,3.22,0.50,1.40,,,0.00,Matches,,31,10,1,12.1,0.25,0.08,0.33,0.25,0.00,0.00,0.25,0.08,0.33,0.25,
10,Emmanuel Agbadou,ci CIV,DF,Wolves,28,1997,12.2,0.08,0.08,0.00,0.82,0.41,0.08,1.07,1.15,1.72,,,0.00,Matches,,14,12,1,12.2,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,
11,Nayef Aguerd,ma MAR,DF,West Ham United,29,1996,2.0,0.00,0.00,0.00,0.00,0.50,0.00,1.00,0.50,0.00,,,0.00,Matches,,2,2,180,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
12,Ola Aina,ng NGA,DF,Nottingham Forest,28,1996,17.6,0.17,0.00,0.00,0.74,0.85,0.00,2.22,1.48,1.19,,,0.00,Matches,,18,18,1,17.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
13,Rayan Aït-Nouri,dz ALG,DF,Manchester City,24,2001,10.8,0.19,0.00,0.00,1.57,0.93,0.00,2.04,1.20,1.94,,,0.00,Matches,,17,12,974,0.00,0.19,0.19,0.00,0.00,0.00,0.00,0.18,0.18,0.00,0.18,
14,Kristoffer Ajer,no NOR,DF,Brentford,27,1998,20.1,0.20,0.00,0.00,1.14,0.25,0.00,0.35,0.75,1.14,,,0.00,Matches,,27,20,1,20.1,0.00,0.05,0.05,0.00,0.00,0.00,0.00,0.05,0.05,0.00,
