player_name,Nation,Pos,Squad,Age,Born,Appearances,Starts,Min,90s,Goals,Assists,G+A,CrdY,CrdR,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,position
Brenden Aaronson,us USA,MF,FW,Leeds United,24,2000.0,37,30,2000,449.0,27.2,0.15,27.2,0.11,0.00,0.74,1.88,0.18,1.36,0.63,0.99,,,CM
Jerome Abbey,eng ENG,MF,Wolves,15,2009,1.0,0,17,0.2,0.0,0.0,0.00,0.00,0.00,0.00,0.00,5.00,0.00,5.0,0.0,,,0.00,CM
Zach Abbott,eng ENG,DF,Nottingham Forest,19,2006,3.0,2,164,1.8,0.0,0.0,0.00,0.00,0.00,1.67,0.56,0.00,1.67,1.11,2.22,,,0.00,CB
Tammy Abraham,eng ENG,FW,Aston Villa,27,1997,12.0,2,286,3.2,0.63,0.0,0.63,0.00,0.00,0.63,0.00,0.00,0.31,0.0,0.31,,,0.00,IF
Joshua Acheampong,eng ENG,DF,Chelsea,19,2006,17.0,8,666,7.4,0.14,0.0,0.14,0.14,0.00,0.27,1.22,0.27,0.14,1.62,1.08,,,0.00,LB
Tyler Adams,us USA,MF,Bournemouth,26,1999,25.0,21,1,19.7,19.7,0.1,0.10,0.41,0.00,1.83,0.66,0.05,0.15,1.52,1.22,,,0.00,CM
Tosin Adarabioyo,eng ENG,DF,Chelsea,27,1997,16.0,8,795,8.8,0.0,0.0,0.00,0.23,0.00,0.68,0.00,0.11,0.00,1.02,0.68,,,0.00,LB
Simon Adingra,ci CIV,MF,FW,Sunderland,23,2002.0,14,9,2002,7.3,0.14,0.00,7.3,0.27,0.00,2.47,0.41,0.55,3.7,0.27,1.10,,,CM
Amine Adli,ma MAR,MF,Bournemouth,25,2000,31.0,10,1,12.1,12.1,0.25,0.08,0.17,0.00,2.40,1.90,0.41,3.22,0.5,1.4,,,0.00,CM
Emmanuel Agbadou,ci CIV,DF,Wolves,28,1997,14.0,12,1,12.2,12.2,0.0,0.00,0.08,0.08,0.82,0.41,0.08,1.07,1.15,1.72,,,0.00,LB
Nayef Aguerd,ma MAR,DF,West Ham United,29,1996,2.0,2,180,2.0,0.0,0.0,0.00,0.00,0.00,0.00,0.50,0.00,1.00,0.5,0.0,,,0.00,DM
Ola Aina,ng NGA,DF,Nottingham Forest,28,1996,18.0,18,1,17.6,17.6,0.0,0.00,0.17,0.00,0.74,0.85,0.00,2.22,1.48,1.19,,,0.00,CB
Rayan Aït-Nouri,dz ALG,DF,Manchester City,24,2001,17.0,12,974,10.8,0.0,0.19,0.19,0.19,0.00,1.57,0.93,0.00,2.04,1.2,1.94,,,0.00,CB
Kristoffer Ajer,no NOR,DF,Brentford,27,1998,27.0,20,1,20.1,20.1,0.0,0.05,0.20,0.00,1.14,0.25,0.00,0.35,0.75,1.14,,,0.00,CB
Nathan Aké,nl NED,DF,Manchester City,30,1995,18.0,6,695,7.7,0.0,0.0,0.00,0.13,0.00,0.39,1.04,0.13,0.52,0.65,0.78,,,0.00,LB
Carlos Alcaraz,ar ARG,MF,Everton,22,2002,20.0,6,689,7.7,0.0,0.13,0.13,0.52,0.00,1.30,1.56,0.13,0.78,0.26,1.17,,,0.00,CM
Omar Alderete,py PAR,DF,Sunderland,28,1996,33.0,32,2,31.1,31.1,0.03,0.03,0.19,0.00,1.09,0.32,0.16,0.35,1.16,0.58,,,0.00,LB
Alisson,br BRA,GK,Liverpool,32,1992,26.0,26,2,26.0,26.0,0.0,0.00,0.04,0.00,0.04,0.27,0.00,0.00,0.0,0.0,,,0.00,GK
Max Alleyne,eng ENG,DF,Manchester City,20,2005,2.0,2,135,1.5,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.0,2.0,,,0.00,CB
Jaydon Amauri Banel,nl NED,FW,MF,Burnley,20,2004.0,1,0,2004,0.1,0.0,0.00,0.1,0.00,0.00,0.00,10.0,0.00,0.0,0.0,0.00,,,IF
Zeki Amdouni,ch SUI,FW,MF,Burnley,24,2000.0,4,0,2000,0.8,0.0,0.00,0.8,0.00,0.00,1.25,1.25,0.00,0.0,0.0,0.00,,,IF
